subid,date,start_time,end_time,finished,mturkcode,condition,happy,depressed,fear,angry,calm,sounds,seeing,temperature,odors,depth,computations,thoughts,reasoning,remembering,beliefs,hungry,tired,pain,nauseated,safe,love,recognizing,communicating,guilt,disrespected,free_will,choices,self_restraint,intentions,goal,conscious,self_aware,desires,embarrassed,emo_recog,joy,morality,personality,pleasure,pride,CATCH,yob,gender,race_asian_east,race_asian_south,race_asian_other,race_black,race_hispanic,race_middle_eastern,race_native_american,race_pac_islander,race_white,race_other_prefno,religion_buddhism,religion_christianity,religion_hinduism,religion_islam,religion_jainism,religion_judaism,religion_sikhism,religion_other,religion_none,religion_prefno,feedback,display_order
R_2B4c9SoqFNiQYOn,12/15/15,4:35:47 PM,4:37:36 PM,1,943366980,robot,-3,-3,-3,-3,-3,2,0,2,-1,2,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-3,-3,-3,1,1989,1,,,,,,,,,1,,,,,,,1,,,,,,30|34|19|4|14|15|13|9|7|8|23|42|24|18|12|20|10|6|41|28|26|39|5|16|40|22|38|21|37|25|17|2|36|29|35|32|1|27|31|11|3
R_2rG8ilGzqY0xFvt,12/15/15,4:36:15 PM,4:38:07 PM,1,221705754,beetle,-3,-3,-3,-3,-3,3,3,1,0,-2,-3,-3,0,-3,-2,1,-2,1,-3,-3,-3,-2,0,-3,-3,3,0,-3,-2,-1,0,-3,0,-3,-3,-2,-3,-2,-3,-3,1,1988,2,,,,,,,,,1,,,1,,,,,,,,,,19|26|6|7|31|38|13|11|1|4|34|20|37|18|39|15|9|27|24|40|12|2|10|16|21|3|14|29|42|17|23|25|36|28|30|22|41|35|32|5|8
R_2zjTY6cQIKt1xk4,12/15/15,4:36:01 PM,4:38:19 PM,1,514068635,robot,-3,-3,-3,-3,3,3,3,-1,3,3,3,-3,-3,2,-3,-3,-3,-3,-3,-3,-3,3,3,-3,-3,-3,3,-3,0,3,1,-3,-3,-3,0,-3,-3,-3,-3,-3,1,1991,1,1,,,,,,,,,,,,,,,,,,1,,,39|21|42|14|12|8|5|27|4|16|22|19|24|20|30|31|17|37|6|13|3|18|26|34|9|10|36|25|38|41|32|23|40|29|15|35|1|28|7|11|2
R_2thV1Dcu5Adj3PY,12/15/15,4:36:06 PM,4:38:51 PM,1,277257371,beetle,-3,-3,-2,-3,-2,-1,0,-2,-2,-2,-3,-3,-3,-2,-3,0,-1,0,-2,-3,-3,-3,-1,-3,-3,-2,-2,-3,-2,-1,-2,-2,-2,-3,-3,-3,-3,-3,-3,-3,1,1984,2,,,,,,,,,1,,,,,,,,,,1,,,8|42|1|28|10|27|19|26|9|22|32|29|37|36|13|3|7|35|17|24|40|38|30|16|25|41|15|6|21|14|11|20|31|12|18|2|39|5|34|23|4
R_2CvvRA7jWYEAMLj,12/15/15,4:37:16 PM,4:39:18 PM,1,743367886,robot,-3,-3,-3,-3,-3,1,-1,-3,-3,-2,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1990,2,,,,,,,,,1,,,1,,,,,,,,,Thank you! Easy and fun :),24|4|2|7|12|27|22|37|6|3|26|32|15|16|23|30|34|8|14|41|10|9|13|11|1|19|25|40|17|29|21|20|35|28|36|5|18|31|42|39|38
R_2fvyxAER17k4he2,12/15/15,4:37:19 PM,4:39:22 PM,1,593912226,robot,-3,-3,-3,-3,-3,2,2,2,2,2,2,-3,2,-3,-3,-3,-3,-3,-3,-3,-3,2,2,-3,-3,-3,-3,-3,2,-3,-3,2,-3,-3,2,-3,2,-3,-3,-3,1,1989,1,1,,,,,,,,,,,1,,,,,,,,,,20|38|16|6|41|39|1|17|13|2|8|19|40|37|12|34|28|15|29|27|23|9|26|5|32|14|3|30|36|10|21|11|31|22|24|18|7|42|35|25|4
R_3kv71QLaBoQkyJq,12/15/15,4:36:59 PM,4:39:24 PM,1,511267370,beetle,-3,-3,2,-3,-3,2,2,2,2,-3,-3,-3,-3,-3,-3,2,-1,2,-3,-3,-3,-3,0,-3,-3,-3,-3,-3,-3,2,2,-3,0,-3,-3,-3,-3,-3,-3,-3,1,1992,1,,,,,,,,,1,,,1,,,,,,,,,,41|2|22|18|7|31|1|11|3|8|26|34|21|36|6|35|38|20|17|27|4|14|13|10|5|9|39|29|37|32|23|15|24|16|30|40|42|19|12|25|28
R_1QrNpBY9dhk4pTj,12/15/15,4:37:21 PM,4:39:25 PM,1,575483367,robot,-3,-3,-3,-3,-3,1,-3,1,-2,0,3,-3,-3,0,-3,-3,-3,-3,-3,-3,-3,-1,-3,-3,-3,-3,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1984,1,,,,,,,,,1,,,,,,,,,,1,,,12|21|1|7|36|38|15|23|19|20|16|32|30|11|42|37|4|8|41|25|31|14|18|28|3|10|13|34|9|39|2|17|26|29|24|22|27|6|40|35|5
R_2EnndDgoDRDUObu,12/15/15,4:36:10 PM,4:39:29 PM,1,776690157,beetle,0,-2,2,1,2,2,3,3,3,-2,-2,-1,0,1,-2,3,2,3,-2,2,-1,2,2,-2,-3,2,2,-1,1,2,2,-2,-1,-2,-2,-2,-3,1,1,-2,1,1981,1,,,,,,1,,,,,,,,1,,,,,,,no,31|21|23|4|1|36|10|11|38|37|8|6|3|29|20|35|12|5|25|18|17|41|30|39|40|15|24|16|2|19|9|42|7|26|22|27|28|34|13|14|32
R_2zqNaEIYWQD51m2,12/15/15,4:37:08 PM,4:39:36 PM,1,288399920,beetle,0,-2,2,1,0,2,2,1,1,0,-2,-2,-2,0,-2,2,2,2,1,1,-1,-1,1,-2,-1,1,1,1,2,1,1,-2,1,-2,-1,0,0,-2,0,-2,1,1975,1,,,,,,,,,1,,,1,,,,,,,,,thanks,28|7|19|17|34|18|25|13|10|16|4|31|29|1|12|6|26|38|27|11|37|21|42|32|35|24|5|36|30|2|39|9|14|22|3|20|15|41|40|8|23
