subid,date,start_time,end_time,finished,mturkcode,condition,happy,depressed,fear,angry,calm,sounds,seeing,temperature,odors,depth,computations,thoughts,reasoning,remembering,beliefs,hungry,tired,pain,nauseated,safe,love,recognizing,communicating,guilt,disrespected,free_will,choices,self_restraint,intentions,goal,conscious,self_aware,desires,embarrassed,emo_recog,joy,morality,personality,pleasure,pride,CATCH,yob,gender,race_asian_east,race_asian_south,race_asian_other,race_black,race_hispanic,race_middle_eastern,race_native_american,race_pac_islander,race_white,race_other_prefno,religion_buddhism,religion_christianity,religion_hinduism,religion_islam,religion_jainism,religion_judaism,religion_sikhism,religion_other,religion_none,religion_prefno,feedback,display_order
R_2sbYFkvHHGviw00,1/12/16,9:16:43 AM,9:17:49 AM,1,388821393,robot,-3,-3,-3,-3,-3,3,-3,-3,-3,-3,3,-3,-3,3,-3,-3,-3,-3,-3,-3,-3,-3,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1989,2,,,,,,,,,1,,,,,,,,,,1,,,29|14|4|8|27|1|35|38|39|20|7|30|41|36|42|3|15|40|21|32|28|37|9|2|24|19|26|34|16|23|25|31|22|6|17|13|11|18|12|5|10
R_33xWBe6NYlKzCE0,1/12/16,9:17:01 AM,9:18:04 AM,1,561312298,beetle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1990,2,,,,,,,,,1,,,,,1,,,,,,,,2|9|38|8|30|5|10|19|7|14|13|26|6|29|20|32|35|37|40|3|28|11|34|36|22|15|41|12|21|39|1|16|23|24|31|17|4|18|25|27|42
R_3feLPdom44iguTv,1/12/16,9:17:13 AM,9:18:20 AM,1,244050421,robot,2,1,1,1,1,2,0,-2,2,0,-1,0,-1,2,2,2,1,-1,-1,1,1,-1,1,2,-1,-1,0,1,-1,1,1,1,-2,2,-1,1,-1,2,1,1,1,1991,1,,,,,,,1,,,,,1,,,,,,,,,none ,14|39|30|2|37|31|5|12|42|26|8|29|1|6|4|36|10|28|17|18|3|20|38|25|15|24|35|16|40|21|23|41|13|7|11|34|9|32|19|27|22
R_6XMJnDsfETGaAMN,1/12/16,9:16:28 AM,9:18:23 AM,1,810652372,robot,-3,-3,-3,-3,-3,-3,-3,-3,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1987,2,,,,1,,,,,,,,1,,,,,,,,,,16|42|1|26|18|27|5|31|37|24|35|6|30|8|28|11|19|32|3|39|21|20|4|10|9|36|25|38|34|17|22|2|14|29|23|7|40|15|41|12|13
R_AEERePXRmJ6EdDH,1/12/16,9:16:40 AM,9:18:25 AM,1,563667147,beetle,0,0,1,0,0,3,2,0,3,0,-2,0,0,0,-2,2,1,2,0,0,0,-1,1,0,-1,2,1,0,0,1,0,0,0,0,1,0,-1,1,0,0,1,1991,2,,,,,,,,,1,,,1,,,,,,,,,,39|31|12|22|30|21|37|29|1|42|23|3|7|26|34|13|17|28|11|16|36|35|10|5|40|14|20|41|24|6|9|27|4|8|32|25|38|19|2|15|18
R_2cvzA9A6g6W9kdZ,1/12/16,9:17:01 AM,9:18:27 AM,1,758085074,beetle,-3,-3,-1,-3,-3,0,3,-1,2,-3,-3,-1,-3,-2,-3,3,-3,-1,-3,2,-3,-3,0,-3,-3,-1,-2,-3,-1,0,-1,-3,-3,-3,-3,-2,-3,-3,-3,-3,1,1993,1,,,,1,,,,,,,,,,,,,,,1,,no,20|2|26|9|12|27|25|35|34|32|22|8|1|5|37|3|17|4|28|24|40|13|10|11|30|18|6|42|21|23|31|41|15|19|39|38|36|14|7|16|29
R_3iJOgsQyExnjjgB,1/12/16,9:16:44 AM,9:18:32 AM,1,160805681,beetle,-3,-3,-3,-3,-3,1,-1,-3,-3,-3,-2,-3,-3,-1,-3,2,1,0,-3,-3,-3,-3,-1,-3,-3,-3,-3,-3,-1,-3,-1,-1,-3,-3,-3,-3,-3,-3,-3,-3,1,1991,2,,,,,1,,,,,,,1,,,,,,,,,Thank you!,17|41|21|16|26|13|14|31|3|29|32|9|23|18|22|6|39|36|34|7|12|10|11|24|8|20|15|28|19|42|25|5|40|30|37|1|35|4|38|2|27
R_1onArYn9klTEP5F,1/12/16,9:16:54 AM,9:18:34 AM,1,521978159,robot,-3,-3,-3,-3,-3,3,3,3,0,3,3,0,-3,3,-3,-3,-3,-3,-3,-3,-3,2,3,-3,-3,-3,2,-3,-3,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1982,1,,,,,,,,,1,,,,,,,1,,,,,,37|38|4|10|12|29|20|19|17|6|11|5|42|22|40|23|2|15|27|24|8|3|35|28|26|25|13|18|14|30|41|31|1|39|21|36|34|32|7|16|9
R_2e2xSS2tWMgu3Ik,1/12/16,9:16:45 AM,9:18:37 AM,1,125398191,robot,-3,-3,-3,-3,-3,2,2,3,2,0,3,-3,-3,3,-3,-3,-3,-3,-3,-3,-3,1,3,-3,-3,0,0,-3,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1979,1,,,,,,,,,1,,,1,,,,,,,,,fun,1|2|10|22|5|23|4|13|39|24|41|7|30|29|15|34|9|37|3|19|35|25|42|21|32|27|14|6|31|17|16|26|18|20|12|11|28|8|40|38|36
R_sTOqNElCuycLQwV,1/12/16,9:16:40 AM,9:18:43 AM,1,324267289,beetle,-1,-3,3,-3,2,2,1,1,2,1,-3,1,-3,-3,-3,2,-1,2,1,-3,-3,-3,0,-3,-3,1,0,-3,-3,0,-3,0,-3,-3,-3,-1,-3,-3,1,-3,1,1989,2,,,,,,,,,1,,,,,,,,,,1,,,32|37|40|23|12|24|6|38|7|30|35|36|25|21|10|27|29|18|39|13|22|8|4|3|5|11|14|16|1|19|2|34|26|20|42|41|28|31|15|9|17
R_1FLprUMiF39DqBo,1/12/16,9:17:02 AM,9:18:51 AM,1,719776225,beetle,-3,-3,-3,-3,-3,2,1,2,1,-1,-3,-1,-3,-3,-3,3,2,-3,-3,2,-3,-3,-1,-3,-3,1,2,-3,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1989,2,,,,,,,,,1,,,,,,,,,,1,,,7|24|3|18|14|25|12|41|8|6|21|42|29|20|32|35|38|26|13|2|4|39|15|17|30|23|10|40|28|31|36|1|27|5|19|11|16|9|22|34|37
R_1jpkFiPYupflG1o,1/12/16,9:17:10 AM,9:18:53 AM,1,484795729,robot,-3,-3,-3,-3,-3,2,1,2,2,2,2,-3,1,1,-3,-3,-3,-3,-3,-3,-3,2,1,-3,-3,1,1,-3,1,1,-3,-3,-3,-3,-3,-3,-3,0,-3,-3,1,1969,2,,,,1,,,,,,,,,,,,,,,1,,,1|39|3|24|29|35|2|11|23|26|38|32|12|13|15|16|40|25|14|42|36|5|19|41|21|20|27|7|34|30|22|6|9|4|18|8|17|28|10|31|37
