subid,date,start_time,end_time,finished,mturkcode,characterL,characterR,condition,happy: characterL,depressed: characterL,fear: characterL,angry: characterL,calm: characterL,sounds: characterL,seeing: characterL,temperature: characterL,odors: characterL,depth: characterL,computations: characterL,thoughts: characterL,reasoning: characterL,remembering: characterL,beliefs: characterL,hungry: characterL,tired: characterL,pain: characterL,nauseated: characterL,safe: characterL,love: characterL,recognizing: characterL,communicating: characterL,guilt: characterL,disrespected: characterL,free_will: characterL,choices: characterL,self_restraint: characterL,intentions: characterL,goal: characterL,conscious: characterL,self_aware: characterL,desires: characterL,embarrassed: characterL,emo_recog: characterL,joy: characterL,morality: characterL,personality: characterL,pleasure: characterL,pride: characterL,CATCH: characterL,happy: characterR,depressed: characterR,fear: characterR,angry: characterR,calm: characterR,sounds: characterR,seeing: characterR,temperature: characterR,odors: characterR,depth: characterR,computations: characterR,thoughts: characterR,reasoning: characterR,remembering: characterR,beliefs: characterR,hungry: characterR,tired: characterR,pain: characterR,nauseated: characterR,safe: characterR,love: characterR,recognizing: characterR,communicating: characterR,guilt: characterR,disrespected: characterR,free_will: characterR,choices: characterR,self_restraint: characterR,intentions: characterR,goal: characterR,conscious: characterR,self_aware: characterR,desires: characterR,embarrassed: characterR,emo_recog: characterR,joy: characterR,morality: characterR,personality: characterR,pleasure: characterR,pride: characterR,CATCH: characterR,yob,gender,race_asian_east,race_asian_south,race_asian_other,race_black,race_hispanic,race_middle_eastern,race_native_american,race_pac_islander,race_white,race_other_prefno,religion_buddhism,religion_christianity,religion_hinduism,religion_islam,religion_jainism,religion_judaism,religion_sikhism,religion_other,religion_none,religion_prefno,feedback,display_order1,display_order2
R_3eyojNdr8JnOLBI,1/9/16,4:59:46 PM,5:01:06 PM,1,180857336,beetle,robot,beetle_robot,2,5,5,4,3,4,6,5,4,5,6,5,6,5,5,6,4,5,3,4,6,6,5,4,3,3,3,6,4,5,6,4,3,5,4,4,7,3,4,5,5,4,4,4,2,4,5,5,4,4,4,3,5,4,3,4,4,5,4,3,4,5,5,5,4,3,4,5,3,4,4,4,6,2,2,5,5,5,5,4,5,5,1990,1,,,,,,,,,1,,,,,,,,,,1,,,FL_8,24|28|38|32|40|30|27|19|25|7|11|2|10|17|39|36|14|16|41|20|5|22|15|4|31|12|26|18|42|37|35|34|3|9|21|13|6|1|8|29|23
R_2Yf9LfT6YHfquu9,1/9/16,5:00:40 PM,5:02:26 PM,1,154041864,beetle,robot,beetle_robot,4,4,5,4,4,7,4,4,6,5,6,6,5,4,5,5,5,4,4,6,4,6,4,2,4,5,5,4,4,3,6,5,6,5,5,4,4,5,5,4,5,4,4,5,5,5,7,4,4,5,5,4,5,4,5,3,4,5,5,4,4,4,5,3,5,5,5,3,4,4,5,5,4,4,4,4,3,4,4,5,4,5,1994,1,,1,,,,,,,,,1,,,,,,,,,,,FL_8,37|6|31|27|12|34|23|11|15|9|36|20|17|7|38|42|8|29|19|30|24|28|35|4|1|10|2|22|32|25|13|18|16|5|39|14|40|21|3|41|26
R_3Pq5Bm1LYbWA2p0,1/9/16,5:00:38 PM,5:02:33 PM,1,208971531,beetle,robot,beetle_robot,4,4,5,4,4,4,4,5,4,4,4,4,4,4,4,5,4,5,4,4,4,4,4,3,4,4,4,5,3,4,4,5,5,4,4,3,4,4,4,4,5,4,5,5,5,4,5,4,5,4,5,5,4,4,5,4,3,4,3,5,4,5,4,4,4,4,4,4,5,4,4,4,4,4,5,5,3,4,4,5,4,5,1995,1,,,,,,,,,1,,,1,,,,,,,,,,FL_8,3|4|21|24|38|40|10|12|27|36|28|29|31|13|34|19|39|23|37|20|32|2|35|1|9|18|15|5|8|22|30|41|42|25|11|14|6|16|7|17|26
R_1oaHs6ioY2yNc8C,1/9/16,5:00:43 PM,5:03:08 PM,1,834159501,beetle,robot,beetle_robot,1,1,1,1,1,7,6,7,6,4,1,1,1,2,1,6,6,5,2,3,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,5,1,1,1,1,1,6,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1991,1,,,,,,,,,1,,,,,,,,,,1,,,FL_8,19|36|9|7|8|35|40|14|26|15|20|32|18|22|4|11|28|27|34|21|42|24|3|29|13|2|12|1|39|38|10|5|31|23|41|30|25|6|37|16|17
R_10HhgkwiKeSf5Gh,1/9/16,4:59:34 PM,5:03:37 PM,1,176157657,beetle,robot,beetle_robot,3,1,6,5,4,6,7,7,5,3,2,4,5,3,1,7,6,7,1,3,3,3,6,2,1,3,6,2,5,3,4,2,3,1,2,2,1,3,4,2,5,1,1,1,1,1,7,7,6,5,5,6,2,5,6,1,1,1,1,1,1,1,6,5,1,1,1,5,1,1,6,1,1,1,1,1,1,1,1,1,1,5,1970,2,,,,,,,,,1,,,,,,,,,,1,,,FL_8,20|2|42|23|17|34|32|39|15|5|29|4|18|35|36|27|13|6|11|30|38|31|19|26|21|40|10|24|28|37|22|8|41|3|25|1|12|14|16|9|7
R_1fjh9vlfYNrDunn,1/9/16,5:00:49 PM,5:03:38 PM,1,646266310,robot,beetle,robot_beetle,1,1,1,5,1,7,7,5,1,1,7,1,7,7,1,1,1,1,1,1,1,4,7,1,1,1,4,1,4,1,1,1,1,1,1,1,1,1,1,1,5,4,1,7,6,6,7,7,6,7,1,1,1,1,1,1,7,7,4,5,1,1,1,1,1,1,6,1,1,6,5,5,1,6,1,1,5,1,1,5,1,5,1978,2,,,,,,,,,1,,,1,,,,,,,,,,FL_10,39|22|27|8|4|9|29|24|11|18|36|25|3|12|32|20|21|6|31|2|41|30|17|40|19|16|34|28|1|26|35|42|38|10|5|23|7|37|14|13|15
R_2VKOQNIpegwhEHZ,1/9/16,4:59:33 PM,5:03:40 PM,1,880688268,robot,beetle,robot_beetle,1,1,1,1,1,7,7,7,1,7,7,1,1,7,1,1,1,1,1,1,1,7,7,1,1,1,1,1,3,7,1,1,1,1,1,1,1,1,1,1,5,2,1,2,2,1,7,7,2,3,7,1,2,1,4,1,4,2,3,1,2,1,1,2,1,1,2,2,2,3,7,2,2,2,1,1,1,1,2,3,1,5,1990,1,,,,,,,,,1,,,,,,,,,,1,,,FL_10,36|25|23|6|37|28|29|2|11|12|21|7|10|18|40|17|27|4|9|19|13|14|41|42|16|30|39|1|32|22|38|26|5|3|8|15|20|35|24|31|34
R_20YHwJTry8hM9O8,1/9/16,5:00:07 PM,5:03:45 PM,1,791875257,beetle,robot,beetle_robot,2,2,7,2,1,7,7,7,7,5,1,5,3,5,2,7,4,7,2,7,2,2,4,2,1,4,5,2,6,7,7,2,2,2,2,3,2,2,3,2,5,1,1,1,1,1,7,7,1,7,7,1,1,2,7,1,1,1,1,1,1,1,4,4,1,1,1,4,1,1,6,1,1,1,1,1,1,1,1,1,1,5,1974,2,,,,,,,,,1,,,1,,,,,,,,,,FL_8,14|37|7|40|29|35|38|26|17|21|1|27|6|9|32|34|41|42|19|25|20|28|22|12|16|24|3|36|2|8|5|18|4|15|23|30|39|11|31|10|13
R_2CUK5kx9jnE6u9L,1/9/16,4:59:35 PM,5:04:07 PM,1,523674259,beetle,robot,beetle_robot,5,2,5,4,3,6,7,5,6,5,1,6,3,5,2,7,2,6,4,6,2,4,6,1,2,5,6,3,6,5,5,4,5,2,3,2,4,3,4,3,5,1,1,1,1,1,6,5,6,2,5,7,1,1,5,1,1,1,1,1,1,1,5,5,1,1,2,3,1,2,3,1,1,1,1,1,1,3,3,1,1,5,1974,1,,,,,,,,,1,,,1,,,,,,,,,,FL_8,32|31|1|36|29|42|27|19|25|40|10|5|24|37|28|39|2|6|15|16|11|21|17|9|3|12|41|18|20|22|4|14|34|8|13|23|7|38|35|30|26
R_24NKK1P1hrwI5dh,1/9/16,5:00:56 PM,5:04:39 PM,1,882292066,robot,beetle,robot_beetle,1,1,1,1,1,7,7,7,5,5,7,2,5,7,2,1,1,1,1,1,1,7,4,1,1,1,5,7,1,7,1,1,1,1,3,1,2,1,1,1,5,2,3,5,4,2,5,6,5,7,6,3,3,4,5,2,7,5,5,3,4,3,2,6,1,2,5,7,4,5,7,7,3,4,2,4,1,2,3,5,3,5,1982,1,,,,,,,,,1,,,,,,,,,,1,,,FL_10,11|22|28|18|32|37|42|21|6|27|8|34|15|35|13|36|1|41|14|9|30|5|24|7|26|17|25|16|12|10|38|23|20|4|2|29|19|40|3|31|39
