subid,date,start_time,end_time,finished,mturkcode,condition,happy,depressed,fear,angry,calm,sounds,seeing,temperature,odors,depth,computations,thoughts,reasoning,remembering,beliefs,hungry,tired,pain,nauseated,safe,love,recognizing,communicating,guilt,disrespected,free_will,choices,self_restraint,intentions,goal,conscious,self_aware,desires,embarrassed,emo_recog,joy,morality,personality,pleasure,pride,CATCH,yob,gender,race_asian_east,race_asian_south,race_asian_other,race_black,race_hispanic,race_middle_eastern,race_native_american,race_pac_islander,race_white,race_other_prefno,education,feedback,display_order
R_1f9PFoPjjH0YOBy,1/14/16,5:28:57 PM,5:30:36 PM,1,143714873,bear,3,-3,3,3,3,3,3,3,3,3,-3,3,3,-3,3,3,3,3,-3,3,3,3,3,-3,-3,3,3,-3,3,-3,3,3,3,-3,3,3,3,3,3,3,1,1983,1,,,,,,,,,1,,3,,41|20|10|14|35|25|2|16|18|21|27|4|11|39|19|22|3|40|13|42|5|12|29|24|1|15|31|28|7|34|17|6|26|38|32|30|8|9|37|36|23
R_bl8BgzjtpQt5Bwl,1/14/16,5:29:34 PM,5:31:08 PM,1,583894656,microbe,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1984,2,,,,,,,,,1,,3,,12|15|34|3|11|40|13|5|29|10|27|38|36|24|39|30|16|4|20|26|32|25|1|21|18|6|23|35|31|2|41|22|17|42|8|37|28|19|7|14|9
R_bsypOY409vOQz3H,1/14/16,5:29:29 PM,5:31:10 PM,1,716672305,adult,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1981,1,,,,,,,,,1,,3,,37|25|18|23|22|4|7|31|16|19|5|21|38|10|36|12|14|32|42|11|29|8|30|9|40|41|3|2|34|17|15|27|26|13|39|20|6|24|35|28|1
R_SUiyCHANPlfbhV7,1/14/16,5:29:33 PM,5:31:13 PM,1,868414671,person in a persistant vegetative state,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1982,2,,,,,,,,,1,,5,,6|30|36|25|39|29|5|41|1|32|28|11|20|23|24|26|34|8|2|10|42|21|7|16|9|17|14|22|38|13|4|40|31|18|19|27|15|37|12|3|35
R_1Cgz1PFnqSiEO0O,1/14/16,5:30:21 PM,5:31:44 PM,1,209606551,stapler,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1987,2,,,,,,,,,1,,5,,14|28|16|39|27|7|15|9|36|34|26|35|8|2|1|17|21|25|5|31|6|37|40|30|11|29|19|23|12|42|22|3|20|4|24|38|18|10|41|32|13
R_2QKa5JV9rM3zgEb,1/14/16,5:29:42 PM,5:32:08 PM,1,964925108,car,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1961,2,,,,,,,,,1,,7,No,6|18|17|2|3|5|15|14|9|34|29|19|12|30|38|25|31|36|24|23|10|41|1|28|16|35|37|39|32|42|8|22|13|4|11|26|40|20|7|27|21
R_1jpImYzyDuXrbNe,1/14/16,5:30:04 PM,5:32:12 PM,1,846519426,dog,2,2,2,3,2,2,2,2,2,-1,-1,2,2,2,-1,3,2,2,0,2,2,2,2,0,2,0,2,2,2,-1,2,0,2,2,2,2,2,2,2,2,1,1986,1,1,,,,,,,,,,7,,16|41|6|8|11|23|4|24|20|34|3|18|36|28|1|30|25|2|17|10|32|21|31|39|7|42|29|14|9|40|35|26|38|19|5|12|13|22|37|15|27
R_Z9uK2LjfPqsPHPz,1/14/16,5:29:44 PM,5:32:19 PM,1,794006721,beetle,0,-1,0,0,-1,-1,0,0,1,2,1,0,1,-1,1,-1,-1,1,0,1,1,1,-1,1,2,0,-2,-1,-2,-1,1,2,1,1,2,-1,1,0,2,0,1,1990,1,,,,,,,,,1,,6,,39|2|14|38|15|35|25|36|32|24|4|19|10|11|18|12|22|26|13|1|7|30|27|6|42|40|20|9|17|23|37|34|21|31|8|5|3|41|28|29|16
R_1MNgHuF5D79s8BB,1/14/16,5:30:06 PM,5:32:19 PM,1,178199758,chimpanzee,1,-2,1,1,0,3,3,2,2,1,-3,1,0,1,-2,3,1,3,2,0,-1,1,1,0,0,0,0,0,0,-1,1,0,1,-2,0,1,-1,0,0,0,1,1984,1,,,,,1,,,,,,3,thank you for your survey,15|18|32|21|27|29|9|14|41|24|26|19|31|36|8|35|1|7|39|37|22|16|6|10|2|5|38|25|28|13|4|11|34|30|12|40|23|17|3|42|20
R_ZwPyrHfHYvtH1df,1/14/16,5:29:00 PM,5:32:25 PM,1,583200259,robot,-3,-3,-3,-3,-3,3,0,3,3,2,3,-3,-1,0,-3,-3,-3,-3,-3,-2,-3,0,3,-3,-3,-3,1,-3,-3,3,-3,-3,-3,-3,-3,-3,1,-2,-3,-3,1,1968,2,,,,,,,,,1,,5,,13|21|23|29|9|30|16|42|25|34|10|2|40|7|39|5|6|4|3|15|32|1|24|36|20|8|38|11|26|28|12|19|35|18|31|22|14|17|37|27|41
