"","subid","char","subid_char","duration","summary","summary_coded","yob","gender","ethnicity","religion","comments","be aware of things","can be turned on and off","feel embarrassed","feel guilty","feel happy","feel love","feel pain","feel proud","feel sad","feel scared","feel sick, like when you feel like you might throw up","feel tired","figure out how to do things","get angry","get hungry","get hurt feelings","is made out of metal","make choices","please choose yes","please click kinda","please select no","remember things","sense temperatures","sense whether something is close by or far away","smell things"
"1","R-00TVT921dMFxPGx","robot","R-00TVT921dMFxPGx_robot","82","I chose no, kinda, or yes in regards to a robots abilities","1","Missouri, USA","f","white","not_religious","","KINDA","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","KINDA","NO","NO","NO","YES","KINDA","YES","KINDA","NO","NO","KINDA","YES","NO"
"2","R-0xKvyUHT8gVDVYt","doll","R-0xKvyUHT8gVDVYt_doll","137","I answered questions about my thoughts on what a doll can or cannot do","1","1972","f","white","not_religious","","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","KINDA","NO","NO","NO","NO","NO"
"3","R-11YOKQYikqPkrOB","teddy_bear","R-11YOKQYikqPkrOB_teddy_bear","355","I answered questions about teddy bears","1","1961","f","black","christianity","","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","KINDA","YES","NO","NO","NO","NO"
"4","R-123cCw9cXHcjQB2","teddy_bear","R-123cCw9cXHcjQB2_teddy_bear","115","I decided whether teddy bears could do a variety of things.","1","1980","m","hispanic","not_religious","","NO","KINDA","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","KINDA","NO","NO","NO","NO","NO"
"5","R-12gS697zKMLAcUa","bird","R-12gS697zKMLAcUa_bird","92","I gave my opinion on things birds can and cannot do","1","1988","m","white","not_religious","","YES","NO","NO","NO","YES","KINDA","YES","NO","NO","YES","YES","YES","KINDA","NO","YES","NO","NO","KINDA","YES","KINDA","NO","YES","YES","YES","YES"
"6","R-12hwdrI2u5SQ5Ct","goat","R-12hwdrI2u5SQ5Ct_goat","321","interesting and informative survey enjoyed it very much","0","1959","m","asian_east","christianity","none, thank you!","YES","NO","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","NO","YES","YES","KINDA","NO","YES","YES","YES","YES"
"7","R-1BRD3tOAMgECCXC","robot","R-1BRD3tOAMgECCXC_robot","278","I just answered questions about whether a robot had feelings.","1","1949","f","white","christianity","Robots can't feel but can come to a resolution about feelings if they are programmed with the correct algorithms. ","KINDA","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES","YES","YES","KINDA","NO","KINDA","YES","YES","NO"
"8","R-1CIoi5v3ac7rEw9","doll","R-1CIoi5v3ac7rEw9_doll","132","I answered questions about a doll, like if I felt a doll could feel/do certain things. ","1","1968","f","white","not_religious","","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","KINDA","NO","NO","NO","NO","NO"
"9","R-1Cp6AohkTFp3iNq","mouse","R-1Cp6AohkTFp3iNq_mouse","560","I guessed what a mouse can and can not do by clicking on Yes, No or Kinda buttons.","1","1988","f","asian_other","other_religious","","YES","NO","NO","NO","NO","NO","YES","NO","KINDA","YES","YES","YES","YES","YES","YES","NO","NO","KINDA","YES","KINDA","NO","KINDA","YES","YES","YES"
"10","R-1CqCR8wxW28KxRC","goat","R-1CqCR8wxW28KxRC_goat","146","I made decisions about whether or not a goat could do or feel different things.","1","1974","m","white","christianity","","YES","NO","NO","NO","NO","NO","YES","NO","NO","KINDA","KINDA","YES","YES","YES","YES","NO","NO","YES","YES","KINDA","NO","YES","KINDA","YES","YES"
"11","R-1cUgdSOO7jCXVhY","bird","R-1cUgdSOO7jCXVhY_bird","75","I clicked yes, no, and kinda on characteristics of a blue jay bird.","1","1994","m","asian_east","not_religious","","YES","NO","KINDA","NO","YES","YES","YES","YES","KINDA","YES","YES","NO","YES","YES","KINDA","NO","NO","YES","YES","KINDA","NO","NO","YES","YES","YES"
"12","R-1DnHZQOoFVYd4hd","elephant","R-1DnHZQOoFVYd4hd_elephant","212","I answered questions about what i thought elephants were capable of.","1","1995","f","white","not_religious","","YES","NO","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","NO","YES","YES","KINDA","NO","YES","YES","YES","YES"
"13","R-1DvxKlgYWGjtg9U","elephant","R-1DvxKlgYWGjtg9U_elephant","274","I just selected the things that elephants can do ","","1990","m","hispanic","christianity","","YES","NO","NO","KINDA","YES","YES","YES","NO","KINDA","YES","YES","KINDA","YES","YES","YES","KINDA","NO","YES","YES","KINDA","NO","YES","YES","YES","YES"
"14","R-1eQO83z5Bv1s4bX","mouse","R-1eQO83z5Bv1s4bX_mouse","740","I answered whether or not a mouse was capable of feeling or doing certain things ","1","1987","f","white","christianity","I‰Ûªd like to know what it will be used for!","YES","NO","NO","NO","KINDA","NO","YES","NO","NO","YES","KINDA","KINDA","YES","NO","YES","NO","NO","KINDA","YES","KINDA","NO","KINDA","YES","YES","KINDA"
"15","R-1eWbERoZ8eUAjoA","robot","R-1eWbERoZ8eUAjoA_robot","120","I answered multiple choice questions about the abilities of robots","1","1981","f","white","not_religious","","KINDA","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","KINDA","NO","NO","NO","KINDA","KINDA","YES","KINDA","NO","KINDA","YES","YES","NO"
"16","R-1f18XXtABpjVMZN","doll","R-1f18XXtABpjVMZN_doll","187","I judged  capabilities  of dolls.","1","1959","m","white","christianity","","NO","KINDA","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","KINDA","NO","YES","KINDA","NO","NO","NO","NO","NO"
"17","R-1FJTWPm4MK2BrLE","bird","R-1FJTWPm4MK2BrLE_bird","135","I answered questions about what I thought a bird could do or feel","1","1981","f","white","christianity","No comments. Thanks!","YES","NO","KINDA","KINDA","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","NO","YES","YES","KINDA","NO","YES","YES","YES","YES"
"18","R-1GZWPhNhjTzGIJm","elephant","R-1GZWPhNhjTzGIJm_elephant","1225","I wrote an essay about what it was like to learn to play the violin","0","1969","m","white","christianity","good","KINDA","NO","KINDA","KINDA","KINDA","YES","NO","YES","KINDA","KINDA","KINDA","NO","KINDA","NO","KINDA","KINDA","NO","KINDA","NO","NO","NO","NO","KINDA","KINDA","KINDA"
"19","R-1i9VcIsqOVQZwNF","robot","R-1i9VcIsqOVQZwNF_robot","171","i rated whether a robot could do and feel things","1","1980","m","white","not_religious","no issues. i liked that it auto advanced after making selection","KINDA","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES","KINDA","YES","KINDA","NO","YES","YES","YES","NO"
"20","R-1IFcXRyQQwsDNM9","teddy_bear","R-1IFcXRyQQwsDNM9_teddy_bear","479","I did a survey about what teddy bears could or could not do","","1989","f","white","christianity","good survey","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","KINDA","NO","NO","NO","NO","NO"
"21","R-1IlQw3knyVQSA2u","mouse","R-1IlQw3knyVQSA2u_mouse","151","I answered questions about what I think a mouse can or cannot do","1","1968","f","white","christianity","not at this time","YES","NO","NO","NO","YES","KINDA","YES","NO","KINDA","YES","YES","YES","YES","YES","YES","NO","NO","YES","YES","KINDA","NO","YES","YES","YES","YES"
"22","R-1JCxovgX7RTLPMP","beetle","R-1JCxovgX7RTLPMP_beetle","103","i was asked if beetles could do things","1","1973","m","white","christianity","none","YES","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO","NO","YES","NO","NO","YES","YES","KINDA","NO","YES","YES","YES","YES"
"23","R-1k2ewW2UOEcRIvH","elephant","R-1k2ewW2UOEcRIvH_elephant","110","I answered question about what I think an elephant can do. ","1","1002","m","white","not_religious","","YES","KINDA","KINDA","KINDA","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","NO","YES","YES","KINDA","YES","YES","YES","YES","YES"
"24","R-1kIg7PwRxtZH2hC","beetle","R-1kIg7PwRxtZH2hC_beetle","111","I was asked to respond to questions about the capabilities of a beetle (e.g. feeling emotions, states, etc.)","1","1989","m","white","christianity","","KINDA","KINDA","NO","NO","NO","NO","KINDA","NO","NO","NO","NO","YES","KINDA","NO","YES","NO","NO","NO","YES","KINDA","NO","KINDA","YES","KINDA","YES"
"25","R-1LTLF21NPYNu8kR","robot","R-1LTLF21NPYNu8kR_robot","209","I responded to questions about robots.","1","1958","m","white","christianity","n/a","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","KINDA","YES","YES","KINDA","NO","YES","YES","YES","NO"
"26","R-1msD1LvNDHVsWwM","computer","R-1msD1LvNDHVsWwM_computer","299","i wrote an essay about nature.","0","1992","m","native_american","christianity","no problem in it.its very simple and easy.","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","KINDA","NO","NO","NO","NO","NO"
"27","R-1nMF3MtDgoYbJzW","mouse","R-1nMF3MtDgoYbJzW_mouse","238","Confirmed my opinions, through multiple choice questions, on what I think a mouse can do, think or feel.","1","1968","f","asian_east","not_religious","","YES","NO","NO","NO","YES","YES","YES","NO","YES","YES","NO","YES","YES","NO","YES","NO","NO","NO","YES","KINDA","NO","YES","YES","YES","YES"
"28","R-1Nq5l10RhM0VR6V","mouse","R-1Nq5l10RhM0VR6V_mouse","166","Answered questions about mice ","1","1984","f","white","christianity","","YES","YES","NO","NO","NO","NO","YES","NO","KINDA","YES","YES","YES","KINDA","YES","YES","NO","NO","YES","YES","KINDA","NO","KINDA","YES","YES","YES"
"29","R-1o4Fzf1OAQfxk3E","elephant","R-1o4Fzf1OAQfxk3E_elephant","185","I answered questions about what I thought elephants were capable of.","","1993","f","black,white","not_religious","","YES","NO","YES","YES","YES","YES","YES","YES","YES","YES","KINDA","YES","YES","YES","YES","YES","NO","YES","YES","KINDA","NO","YES","YES","YES","YES"
"30","R-1obztheH2ROdgmE","doll","R-1obztheH2ROdgmE_doll","474","I chose wheter dolls can do thing or not.","1","1989","f","white","christianity","","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","KINDA","NO","NO","NO","NO","NO"
"31","R-1OMF9n1UlyzAplV","doll","R-1OMF9n1UlyzAplV_doll","29","","","","","","","","NO","","NO","NO","NO","NO","","NO","NO","NO","NO","NO","","NO","","NO","","NO","NO","NO","NO","NO","NO","NO",""
"32","R-1OOG2BaQe0Wrt7Y","goat","R-1OOG2BaQe0Wrt7Y_goat","184","I answered questions/selected choices about goats","1","1962","f","hispanic","christianity","","YES","NO","NO","NO","NO","NO","YES","NO","NO","YES","YES","YES","KINDA","NO","YES","NO","NO","KINDA","NO","KINDA","NO","KINDA","YES","KINDA","YES"
"33","R-1P1NKGdTaFxnOhW","bird","R-1P1NKGdTaFxnOhW_bird","248","I answered if a bird can feel certain emotions or sensations","1","1981","m","white","not_religious","","YES","NO","NO","NO","NO","NO","YES","NO","KINDA","YES","YES","YES","KINDA","KINDA","YES","NO","NO","YES","YES","KINDA","NO","KINDA","YES","YES","YES"
"34","R-1Qxu13IBIUBlnqB","goat","R-1Qxu13IBIUBlnqB_goat","199","I judged what a goat can do!","1","1985","f","white","christianity","","YES","NO","NO","NO","YES","YES","YES","YES","KINDA","YES","YES","YES","KINDA","KINDA","YES","YES","NO","KINDA","NO","KINDA","NO","KINDA","YES","KINDA","YES"
"35","R-1r3udL2ywOnJMxk","elephant","R-1r3udL2ywOnJMxk_elephant","110","I just recorded my thoughts about what an elephant can and can't do.","","1973","m","white","christianity","good luck","YES","NO","KINDA","KINDA","YES","YES","YES","KINDA","YES","YES","YES","YES","YES","YES","YES","YES","NO","YES","YES","KINDA","NO","YES","YES","YES","YES"
"36","R-1rDKjdZIu5LkdoZ","teddy_bear","R-1rDKjdZIu5LkdoZ_teddy_bear","65","","","","","","","","NO","","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","","NO","YES","NO","NO","NO","NO","NO","NO"
"37","R-21gstaCMzEwZI35","goat","R-21gstaCMzEwZI35_goat","465","THE STUDY IS ABOUT GOAT EMOTION ","1","1986","m","white","christianity","STUDY IS GOOD","KINDA","KINDA","NO","NO","KINDA","KINDA","NO","KINDA","KINDA","KINDA","KINDA","KINDA","NO","KINDA","YES","NO","KINDA","NO","YES","KINDA","NO","KINDA","NO","KINDA","YES"
