"","subid","duration","summary","summary_coded","yob","gender","ethnicity","religion","comments","subid_char","character","capacity","response","response_num"
"1","R-0BrYFotIaxpCCcx","446","I made judgements about beetles and robots. About what they could do and can't etc. ","1","1972","f","white","christianity","","R-0BrYFotIaxpCCcx_beetles","beetles","think","NO",0
"2","R-0BrYFotIaxpCCcx","446","I made judgements about beetles and robots. About what they could do and can't etc. ","1","1972","f","white","christianity","","R-0BrYFotIaxpCCcx_beetles","beetles","feel hungry","NO",0
"3","R-0BrYFotIaxpCCcx","446","I made judgements about beetles and robots. About what they could do and can't etc. ","1","1972","f","white","christianity","","R-0BrYFotIaxpCCcx_beetles","beetles","feel happy","KINDA",0.5
"4","R-0BrYFotIaxpCCcx","446","I made judgements about beetles and robots. About what they could do and can't etc. ","1","1972","f","white","christianity","","R-0BrYFotIaxpCCcx_beetles","beetles","know stuff","KINDA",0.5
"5","R-0BrYFotIaxpCCcx","446","I made judgements about beetles and robots. About what they could do and can't etc. ","1","1972","f","white","christianity","","R-0BrYFotIaxpCCcx_beetles","beetles","please select no","NO",0
"6","R-0BrYFotIaxpCCcx","446","I made judgements about beetles and robots. About what they could do and can't etc. ","1","1972","f","white","christianity","","R-0BrYFotIaxpCCcx_beetles","beetles","smell things","YES",1
"7","R-0BrYFotIaxpCCcx","446","I made judgements about beetles and robots. About what they could do and can't etc. ","1","1972","f","white","christianity","","R-0BrYFotIaxpCCcx_beetles","beetles","get thirsty","YES",1
"8","R-0BrYFotIaxpCCcx","446","I made judgements about beetles and robots. About what they could do and can't etc. ","1","1972","f","white","christianity","","R-0BrYFotIaxpCCcx_beetles","beetles","feel sick","YES",1
"9","R-0BrYFotIaxpCCcx","446","I made judgements about beetles and robots. About what they could do and can't etc. ","1","1972","f","white","christianity","","R-0BrYFotIaxpCCcx_beetles","beetles","see","YES",1
"10","R-0BrYFotIaxpCCcx","446","I made judgements about beetles and robots. About what they could do and can't etc. ","1","1972","f","white","christianity","","R-0BrYFotIaxpCCcx_beetles","beetles","get scared","YES",1
