"","run","subid","age_days","age_years","gender","ethnicity","ethnicity_collapse","experimenter","location","game","character","version","subid_char","char_label","question","question_text","question_clar","capacity","response","response_num","comments","general_comments"
"1","run_05 dimkid4yo","CX01",1809,4.95616438356164,"f","A","A","cx","preschool",1,"beetle",1,"CX01_beetle","ladybug",1,"Can ___s love someone?","like when you really like somebody and care about them a lot","love someone","no",0,NA,NA
"2","run_05 dimkid4yo","CX01",1809,4.95616438356164,"f","A","A","cx","preschool",1,"beetle",1,"CX01_beetle","ladybug",2,"Can ___s hear?","like when you hear sounds and noises","hear","kinda",0.5,NA,NA
"3","run_05 dimkid4yo","CX01",1809,4.95616438356164,"f","A","A","cx","preschool",1,"beetle",1,"CX01_beetle","ladybug",3,"Can ___s feel sorry?","like when you feel bad because you hurt somebody else","feel sorry","no",0,NA,NA
"4","run_05 dimkid4yo","CX01",1809,4.95616438356164,"f","A","A","cx","preschool",1,"beetle",1,"CX01_beetle","ladybug",4,"Can ___s get sad?","like when you feel unhappy","get sad","yes",1,NA,NA
"5","run_05 dimkid4yo","CX01",1809,4.95616438356164,"f","A","A","cx","preschool",1,"beetle",1,"CX01_beetle","ladybug",5,"Can ___s remember things?","like when you remember something that happened yesterday","remember things","no",0,NA,NA
"6","run_05 dimkid4yo","CX01",1809,4.95616438356164,"f","A","A","cx","preschool",1,"beetle",1,"CX01_beetle","ladybug",6,"Can ___s hate someone?","like when you really don't like somebody","hate someone","yes",1,NA,NA
"7","run_05 dimkid4yo","CX01",1809,4.95616438356164,"f","A","A","cx","preschool",1,"beetle",1,"CX01_beetle","ladybug",7,"Can ___s get lonely?","like when you feel sad because you miss somebody","get lonely","no",0,NA,NA
"8","run_05 dimkid4yo","CX01",1809,4.95616438356164,"f","A","A","cx","preschool",1,"beetle",1,"CX01_beetle","ladybug",8,"Can ___s feel tired?","like when you feel sleepy","feel tired","yes",1,NA,NA
"9","run_05 dimkid4yo","CX01",1809,4.95616438356164,"f","A","A","cx","preschool",1,"beetle",1,"CX01_beetle","ladybug",9,"Can ___s figure things out?","like when you solve a puzzle or learn something new","figure things out","yes",1,NA,NA
"10","run_05 dimkid4yo","CX01",1809,4.95616438356164,"f","A","A","cx","preschool",1,"beetle",1,"CX01_beetle","ladybug",10,"Can ___s get scared?","like when you feel afraid","get scared","yes",1,NA,NA
"11","run_05 dimkid4yo","CX01",1809,4.95616438356164,"f","A","A","cx","preschool",1,"beetle",1,"CX01_beetle","ladybug",11,"Can ___s see?","like when you see all the things that are around you","see","kinda",0.5,NA,NA
"12","run_05 dimkid4yo","CX01",1809,4.95616438356164,"f","A","A","cx","preschool",1,"beetle",1,"CX01_beetle","ladybug",12,"Can ___s feel sick?","like when you feel like you might throw up","feel sick","yes",1,NA,NA
"13","run_05 dimkid4yo","CX01",1809,4.95616438356164,"f","A","A","cx","preschool",1,"beetle",1,"CX01_beetle","ladybug",13,"Can ___s get thirsty?","like when you feel like you need to drink something","get thirsty","yes",1,NA,NA
"14","run_05 dimkid4yo","CX01",1809,4.95616438356164,"f","A","A","cx","preschool",1,"beetle",1,"CX01_beetle","ladybug",14,"Can ___s smell things?","like when you can tell if something smells sweet, or rotten","smell things","kinda",0.5,NA,NA
"15","run_05 dimkid4yo","CX01",1809,4.95616438356164,"f","A","A","cx","preschool",1,"beetle",1,"CX01_beetle","ladybug",15,"Can ___s know stuff?","like when you know a fact or know how to do something","know stuff","kinda",0.5,NA,NA
"16","run_05 dimkid4yo","CX01",1809,4.95616438356164,"f","A","A","cx","preschool",1,"beetle",1,"CX01_beetle","ladybug",16,"Can ___s feel happy?","like when you feel good","feel happy","yes",1,NA,NA
"17","run_05 dimkid4yo","CX01",1809,4.95616438356164,"f","A","A","cx","preschool",1,"beetle",1,"CX01_beetle","ladybug",17,"Can ___s feel hungry?","like when you feel like you need to eat something","feel hungry","yes",1,NA,NA
"18","run_05 dimkid4yo","CX01",1809,4.95616438356164,"f","A","A","cx","preschool",1,"beetle",1,"CX01_beetle","ladybug",18,"Can ___s think?","like when you have a thought or an idea about something","think","yes",1,NA,NA
"19","run_05 dimkid4yo","CX01",1809,4.95616438356164,"f","A","A","cx","preschool",2,"robot",5,"CX01_robot","robot",1,"Can ___s think?","like when you have a thought or an idea about something","think","kinda",0.5,NA,NA
"20","run_05 dimkid4yo","CX01",1809,4.95616438356164,"f","A","A","cx","preschool",2,"robot",5,"CX01_robot","robot",2,"Can ___s feel hungry?","like when you feel like you need to eat something","feel hungry","no",0,NA,NA
"21","run_05 dimkid4yo","CX01",1809,4.95616438356164,"f","A","A","cx","preschool",2,"robot",5,"CX01_robot","robot",3,"Can ___s feel happy?","like when you feel good","feel happy","kinda",0.5,NA,NA
"22","run_05 dimkid4yo","CX01",1809,4.95616438356164,"f","A","A","cx","preschool",2,"robot",5,"CX01_robot","robot",4,"Can ___s know stuff?","like when you know a fact or know how to do something","know stuff","yes",1,NA,NA
"23","run_05 dimkid4yo","CX01",1809,4.95616438356164,"f","A","A","cx","preschool",2,"robot",5,"CX01_robot","robot",5,"Can ___s smell things?","like when you can tell if something smells sweet, or rotten","smell things","no",0,NA,NA
"24","run_05 dimkid4yo","CX01",1809,4.95616438356164,"f","A","A","cx","preschool",2,"robot",5,"CX01_robot","robot",6,"Can ___s get thirsty?","like when you feel like you need to drink something","get thirsty","no",0,NA,NA
"25","run_05 dimkid4yo","CX01",1809,4.95616438356164,"f","A","A","cx","preschool",2,"robot",5,"CX01_robot","robot",7,"Can ___s feel sick?","like when you feel like you might throw up","feel sick","no",0,NA,NA
"26","run_05 dimkid4yo","CX01",1809,4.95616438356164,"f","A","A","cx","preschool",2,"robot",5,"CX01_robot","robot",8,"Can ___s see?","like when you see all the things that are around you","see","kinda",0.5,NA,NA
"27","run_05 dimkid4yo","CX01",1809,4.95616438356164,"f","A","A","cx","preschool",2,"robot",5,"CX01_robot","robot",9,"Can ___s get scared?","like when you feel afraid","get scared","yes",1,NA,NA
"28","run_05 dimkid4yo","CX01",1809,4.95616438356164,"f","A","A","cx","preschool",2,"robot",5,"CX01_robot","robot",10,"Can ___s figure things out?","like when you solve a puzzle or learn something new","figure things out","yes",1,NA,NA
"29","run_05 dimkid4yo","CX01",1809,4.95616438356164,"f","A","A","cx","preschool",2,"robot",5,"CX01_robot","robot",11,"Can ___s feel tired?","like when you feel sleepy","feel tired","no",0,NA,NA
"30","run_05 dimkid4yo","CX01",1809,4.95616438356164,"f","A","A","cx","preschool",2,"robot",5,"CX01_robot","robot",12,"Can ___s get lonely?","like when you feel sad because you miss somebody","get lonely","yes",1,NA,NA
