subid,character,trial,capacity,response,response_num,age_group,age
example_p01,beetle,1,love someone,no,0,4-5y,4.956164384
example_p01,beetle,2,hear,kinda,0.5,4-5y,4.956164384
example_p01,beetle,3,feel sorry,no,0,4-5y,4.956164384
example_p01,beetle,4,get sad,yes,1,4-5y,4.956164384
example_p01,beetle,5,remember things,no,0,4-5y,4.956164384
example_p01,beetle,6,hate someone,yes,1,4-5y,4.956164384
example_p01,beetle,7,get lonely,no,0,4-5y,4.956164384
example_p01,beetle,8,feel tired,yes,1,4-5y,4.956164384
example_p01,beetle,9,figure things out,yes,1,4-5y,4.956164384
example_p01,beetle,10,get scared,yes,1,4-5y,4.956164384
example_p01,beetle,11,see,kinda,0.5,4-5y,4.956164384
example_p01,beetle,12,feel sick,yes,1,4-5y,4.956164384
example_p01,beetle,13,get thirsty,yes,1,4-5y,4.956164384
example_p01,beetle,14,smell things,kinda,0.5,4-5y,4.956164384
example_p01,beetle,15,know stuff,kinda,0.5,4-5y,4.956164384
example_p01,beetle,16,feel happy,yes,1,4-5y,4.956164384
example_p01,beetle,17,feel hungry,yes,1,4-5y,4.956164384
example_p01,beetle,18,think,yes,1,4-5y,4.956164384
example_p02,robot,1,love someone,kinda,0.5,4-5y,5.284931507
example_p02,robot,2,hear,kinda,0.5,4-5y,5.284931507
example_p02,robot,3,feel sorry,no,0,4-5y,5.284931507
example_p02,robot,4,get sad,no,0,4-5y,5.284931507
example_p02,robot,5,remember things,no,0,4-5y,5.284931507
example_p02,robot,6,hate someone,no,0,4-5y,5.284931507
example_p02,robot,7,get lonely,yes,1,4-5y,5.284931507
example_p02,robot,8,feel tired,no,0,4-5y,5.284931507
example_p02,robot,9,figure things out,yes,1,4-5y,5.284931507
example_p02,robot,10,get scared,no,0,4-5y,5.284931507
example_p02,robot,11,see,yes,1,4-5y,5.284931507
example_p02,robot,12,feel sick,no,0,4-5y,5.284931507
example_p02,robot,13,get thirsty,no,0,4-5y,5.284931507
example_p02,robot,14,smell things,no,0,4-5y,5.284931507
example_p02,robot,15,know stuff,no,0,4-5y,5.284931507
example_p02,robot,16,feel happy,yes,1,4-5y,5.284931507
example_p02,robot,17,feel hungry,no,0,4-5y,5.284931507
example_p02,robot,18,think,no,0,4-5y,5.284931507
example_p03,beetle,1,think,no,0,adults,-
example_p03,beetle,2,feel hungry,no,0,adults,-
example_p03,beetle,3,feel happy,kinda,0.5,adults,-
example_p03,beetle,4,know stuff,kinda,0.5,adults,-
example_p03,beetle,5,smell things,yes,1,adults,-
example_p03,beetle,6,get thirsty,yes,1,adults,-
example_p03,beetle,7,feel sick,yes,1,adults,-
example_p03,beetle,8,see,yes,1,adults,-
example_p03,beetle,9,get scared,yes,1,adults,-
example_p03,beetle,10,figure things out,kinda,0.5,adults,-
example_p03,beetle,11,feel tired,kinda,0.5,adults,-
example_p03,beetle,12,get lonely,kinda,0.5,adults,-
example_p03,beetle,13,hate someone,no,0,adults,-
example_p03,beetle,14,remember things,no,0,adults,-
example_p03,beetle,15,get sad,no,0,adults,-
example_p03,beetle,16,feel sorry,no,0,adults,-
example_p03,beetle,17,hear,yes,1,adults,-
example_p03,beetle,18,love someone,no,0,adults,-
