trialNum,bgColor,capacity,capWording,response,responseNum,hoverTime,rt,character,charWording,subid,sessionDuration,testingSite,experimenter,trialComments,sessionComments,run,age,gender,bilingual,languages,ethnicity
1,#9be4c0,joy,feel joy,no,0,0,10788,robot,a robot,A01,6.914133333,NA,NA,NA,NA,run_01,8.666666667,f,no,NA,NA
2,#64f8f4,personality,have a personality -- like when someone is shy and somebody else is silly,kinda,0.5,0,35433,robot,a robot,A01,6.914133333,NA,NA,NA,NA,run_01,8.666666667,f,no,NA,NA
3,#fde096,embarrassed,feel embarrassed,no,0,0,7190,robot,a robot,A01,6.914133333,NA,NA,NA,NA,run_01,8.666666667,f,no,NA,NA
4,#8cf2c3,guilt,feel guilty,kinda,0.5,0,11298,robot,a robot,A01,6.914133333,NA,NA,NA,NA,run_01,8.666666667,f,no,NA,NA
5,#d0d9ae,temperature,sense temperatures,yes,1,0,7302,robot,a robot,A01,6.914133333,NA,NA,NA,NA,run_01,8.666666667,f,no,NA,NA
6,#f3c5fa,intentions,make plans,yes,1,0,9818,robot,a robot,A01,6.914133333,NA,NA,NA,NA,run_01,8.666666667,f,no,NA,NA
7,#84eced,pride,feel proud,no,0,0,8537,robot,a robot,A01,6.91415,NA,NA,NA,NA,run_01,8.666666667,f,no,NA,NA
8,#e3df8e,recognizing,recognize somebody else,yes,1,0,9944,robot,a robot,A01,6.91415,NA,NA,NA,NA,run_01,8.666666667,f,no,NA,NA
9,#c2e9f5,conscious,be aware of things,no,0,0,8225,robot,a robot,A01,6.91415,NA,NA,NA,NA,run_01,8.666666667,f,no,NA,NA
10,#d2dcee,safe,feel safe,no,0,0,6591,robot,a robot,A01,6.91415,NA,NA,NA,NA,run_01,8.666666667,f,no,NA,NA
11,#5ef2da,tired,feel tired,kinda,0.5,0,10038,robot,a robot,A01,6.91415,NA,NA,NA,NA,run_01,8.666666667,f,no,NA,NA
12,#f2cdb9,communicating,communicate with somebody else,yes,1,0,8187,robot,a robot,A01,6.91415,NA,NA,NA,NA,run_01,8.666666667,f,no,NA,NA
