trialNum,bgColor,capacity,capWording,response,responseNum,hoverTime,rt,character,charWording,subid,sessionDuration,testingSite,experimenter,gender,ethnicity,trialComments,sessionComments,run,trial.comments,age
1,#b4dbe7,remembering,remember things,no,0,0,15321,goat,a goat,CX55_3Y,2.84905,Bing,CX,f,ME A/C,NA,NA,run_03,NA,3.156741958
2,#97eca5,depth,sense whether something is close by or far away,yes,1,0,9093,goat,a goat,CX55_3Y,2.849066667,Bing,CX,f,ME A/C,NA,NA,run_03,NA,3.156741958
3,#e3d3af,pain,feel pain,yes,1,0,6495,goat,a goat,CX55_3Y,2.849066667,Bing,CX,f,ME A/C,NA,NA,run_03,NA,3.156741958
4,#a9f2ce,tired,feel tired,yes,1,0,5425,goat,a goat,CX55_3Y,2.849066667,Bing,CX,f,ME A/C,NA,NA,run_03,NA,3.156741958
5,#94ebda,depressed,feel sad,yes,1,0,5923,goat,a goat,CX55_3Y,2.849066667,Bing,CX,f,ME A/C,NA,NA,run_03,NA,3.156741958
6,#3eeaef,embarrassed,feel embarrassed,no,0,0,6022,goat,a goat,CX55_3Y,2.849066667,Bing,CX,f,ME A/C,NA,NA,run_03,NA,3.156741958
7,#79e3f9,happy,feel happy,yes,1,0,4883,goat,a goat,CX55_3Y,2.849066667,Bing,CX,f,ME A/C,NA,NA,run_03,NA,3.156741958
8,#84eced,hungry,get hungry,yes,1,0,5973,goat,a goat,CX55_3Y,2.849066667,Bing,CX,f,ME A/C,NA,NA,run_03,NA,3.156741958
9,#aceab4,temperature,sense temperatures,yes,1,0,5460,goat,a goat,CX55_3Y,2.849066667,Bing,CX,f,ME A/C,NA,NA,run_03,NA,3.156741958
10,#b5eaa1,odors,smell things,yes,1,0,6151,goat,a goat,CX55_3Y,2.849066667,Bing,CX,f,ME A/C,NA,NA,run_03,NA,3.156741958
11,#f2e1bc,love,feel love,no,0,0,6620,goat,a goat,CX55_3Y,2.849066667,Bing,CX,f,ME A/C,NA,NA,run_03,NA,3.156741958
12,#c3e5b5,conscious,be aware of things,yes,1,0,5099,goat,a goat,CX55_3Y,2.849066667,Bing,CX,f,ME A/C,NA,NA,run_03,NA,3.156741958
13,#f2cdb9,reasoning,figure out how to do things,yes,1,0,5639,goat,a goat,CX55_3Y,2.849066667,Bing,CX,f,ME A/C,NA,NA,run_03,NA,3.156741958
14,#bae6c8,disrespected,get hurt feelings,no,0,0,5623,goat,a goat,CX55_3Y,2.849066667,Bing,CX,f,ME A/C,NA,NA,run_03,NA,3.156741958
15,#ead1ec,choices,make choices,yes,1,0,5009,goat,a goat,CX55_3Y,2.849066667,Bing,CX,f,ME A/C,NA,NA,run_03,NA,3.156741958
16,#8cf2c3,nauseated,feel sick -- like when you feel like you might throw up,no,0,0,6894,goat,a goat,CX55_3Y,2.849066667,Bing,CX,f,ME A/C,NA,NA,run_03,NA,3.156741958
17,#a9e7e4,fear,feel scared,no,0,0,6952,goat,a goat,CX55_3Y,2.849066667,Bing,CX,f,ME A/C,NA,NA,run_03,NA,3.156741958
18,#f0d9a2,pride,feel proud,yes,1,0,5239,goat,a goat,CX55_3Y,2.849066667,Bing,CX,f,ME A/C,NA,NA,run_03,NA,3.156741958
19,#d1e48e,angry,get angry,no,0,0,5641,goat,a goat,CX55_3Y,2.849066667,Bing,CX,f,ME A/C,NA,NA,run_03,NA,3.156741958
20,#fde096,guilt,feel guilty,yes,1,0,4797,goat,a goat,CX55_3Y,2.849066667,Bing,CX,f,ME A/C,NA,NA,run_03,NA,3.156741958
21,#d0e0c8,metal,is made out of metal,yes,1,0,5511,goat,a goat,CX55_3Y,2.849066667,Bing,CX,f,ME A/C,NA,NA,run_03,NA,3.156741958
22,#cae5a1,on_off,can be turned on and off,yes,1,0,5988,goat,a goat,CX55_3Y,2.849066667,Bing,CX,f,ME A/C,NA,NA,run_03,NA,3.156741958
1,#ead1ec,pain,feel pain,no,0,0,13697,elephant,a elephant,CX54_3Y,2.77485,Bing,CX,m,HC Cj,NA,NA,run_03,NA,3.523613963
2,#b5eaa1,angry,get angry,yes,1,0,5736,elephant,a elephant,CX54_3Y,2.77485,Bing,CX,m,HC Cj,NA,NA,run_03,NA,3.523613963
3,#94ebda,odors,smell things,yes,1,0,7520,elephant,a elephant,CX54_3Y,2.77485,Bing,CX,m,HC Cj,NA,NA,run_03,NA,3.523613963
